Genus,L30,S30,W30,feature_frequency
Unassigned,1.0,1.0,1.0,12865.0
g__Acantharea_Group_I,0.0,0.0,1.0,2.0
g__Actinocyclus,0.0,0.0,1.0,2.0
g__Akashiwo,1.0,0.0,1.0,7.0
g__Amoebophrya,1.0,1.0,1.0,393.0
g__Aureobasidium,1.0,0.0,0.0,69.0
g__Bathycoccus,0.0,1.0,1.0,685.0
g__Calanoida,1.0,1.0,1.0,2760.0
g__Capitellida,0.0,0.0,1.0,177.0
g__Chaetoceros,1.0,0.0,1.0,821.0
g__Chrysochromulina,0.0,0.0,1.0,54.0
g__Chrysophyceae,1.0,1.0,0.0,70.0
g__Chytriodinium,1.0,0.0,1.0,23.0
g__Cryothecomonas,1.0,0.0,0.0,41.0
g__Cryptocaryon,1.0,1.0,1.0,134.0
g__Cryptomonadales,0.0,0.0,1.0,27.0
g__Cyclopoida,1.0,1.0,1.0,1119.0
g__Cydippida,1.0,0.0,1.0,418.0
g__Cyphellophora,0.0,1.0,1.0,68.0
g__Diaphanoeca,0.0,0.0,1.0,34.0
g__Duboscquella,1.0,1.0,1.0,33.0
g__Filobasidium,0.0,0.0,1.0,55.0
g__Flamella,0.0,1.0,0.0,28.0
g__Gyrodinium,1.0,0.0,1.0,1848.0
g__Haplozoon,1.0,1.0,0.0,74.0
g__Heterobranchia,1.0,0.0,1.0,48.0
g__Heterodinium,1.0,0.0,1.0,42.0
g__Hymenoptera,1.0,1.0,0.0,317.0
g__Imantonia,0.0,0.0,1.0,8.0
g__Katablepharis,1.0,0.0,0.0,20.0
g__Leptocylindrus,1.0,0.0,0.0,7.0
g__Leptothecata,1.0,0.0,1.0,2684.0
g__Leucocryptos,1.0,0.0,0.0,61.0
g__MAST-12A,1.0,0.0,0.0,25.0
g__MAST-1A,1.0,1.0,1.0,877.0
g__MAST-1B,0.0,1.0,1.0,292.0
g__MAST-1C,1.0,1.0,1.0,143.0
g__MAST-2,1.0,0.0,0.0,134.0
g__MAST-3,0.0,1.0,0.0,2.0
g__MAST-3I,0.0,0.0,1.0,8.0
g__MAST-4,0.0,1.0,1.0,133.0
g__MAST-7A,0.0,1.0,1.0,272.0
g__MAST-8,0.0,1.0,0.0,21.0
g__Magnoliophyta,0.0,0.0,1.0,147.0
g__Marine_Choanoflagellates_1,0.0,0.0,1.0,12.0
g__Micromonas,0.0,1.0,1.0,620.0
g__Myoida,1.0,0.0,0.0,8.0
g__Orbiniidae,1.0,0.0,0.0,4.0
g__Palpitomonas,1.0,1.0,1.0,104.0
g__Paraphysomonas,1.0,0.0,1.0,86.0
g__Pectinoida,1.0,0.0,0.0,2.0
g__Phaeocystis,0.0,1.0,1.0,987.0
g__Phyllodocida,1.0,1.0,0.0,41.0
g__Picomonadida,0.0,1.0,1.0,36.0
g__Picozoa,0.0,1.0,1.0,29.0
g__Pithites,1.0,1.0,1.0,84.0
g__Ploimida,0.0,1.0,0.0,68.0
g__Protaspis,1.0,0.0,0.0,24.0
g__Rhizosolenids,1.0,0.0,0.0,3.0
g__Sabellida,0.0,0.0,1.0,2.0
g__Sessilia,1.0,0.0,0.0,26.0
g__Spionida,0.0,0.0,1.0,59.0
g__Stenosemella,0.0,0.0,1.0,42.0
g__Syndiniales_Group_I,1.0,1.0,1.0,1269.0
g__Syndiniales_Group_II,1.0,1.0,1.0,425.0
g__Syndiniales_Group_III,1.0,1.0,1.0,176.0
g__Teleaulax,1.0,1.0,1.0,2354.0
g__Telonema,1.0,0.0,1.0,277.0
g__Terebellida,1.0,0.0,0.0,6.0
g__Thalassiosira,1.0,0.0,1.0,797.0
g__Trachymedusae,1.0,1.0,1.0,433.0
g__Vishniacozyma,0.0,1.0,0.0,12.0
g__uncultured,1.0,1.0,1.0,4872.0
