feature_id,L60,S60,W60,feature_frequency
0024026291e1a36a04810106884d6ce5,0.0,1.0,1.0,171.0
0044164f6d463942dca822a22c7c6f4d,0.0,0.0,1.0,2.0
0089c2ee62e4e072faf4a080fc7ae6e5,1.0,1.0,1.0,2824.0
008d11c0689fd62d7a19f9e1fbb54268,1.0,1.0,1.0,137.0
009cdbab8ec4e73afa9896e976ef4e79,0.0,1.0,1.0,164.0
00ab4eba45e1454a602ed070b0c793b1,1.0,0.0,0.0,3.0
00ddb6505f2f5ba73a19015855399f8f,0.0,1.0,0.0,2.0
00e047a89c3cc1d2d459545ac75f18ed,1.0,1.0,1.0,248.0
00f2a771e4a04d01f8d178357421ece7,0.0,1.0,1.0,1423.0
012054e3f62502aff7f455e1592ea87f,1.0,1.0,1.0,12836.0
015600cdcdfdc7333d251c9c9160eb72,0.0,0.0,1.0,383.0
0164742d313437aa2650e7193b683326,1.0,0.0,1.0,10.0
01770ea2fb7f041c787e5a481888c27e,1.0,1.0,1.0,878.0
01874a5f6a88aa5196a4c6d1db4d910d,0.0,1.0,1.0,2633.0
01893a6e745b291e28f8105c359b0f64,1.0,1.0,1.0,86.0
01b6055d816dfa26f1049780d85de084,0.0,1.0,1.0,3342.0
01e9f177991953b08628edc2cf4c3a0c,1.0,0.0,0.0,6.0
01eb34d864b5b8a54eb4fa9bac9a92ed,0.0,1.0,0.0,45.0
01eb8501fc1d31109052e5718cb5b392,0.0,1.0,0.0,4.0
01eb892495890df5ed35ff5ece71bfce,1.0,1.0,1.0,1111.0
01ff566d25d0b8a42dbfe59acc6959cb,0.0,0.0,1.0,2.0
021829170463632e041095dab11c0e95,0.0,0.0,1.0,95.0
023afc3a991fd3d034caa37683e1b7c0,1.0,1.0,1.0,173.0
023c03872f74a964260494e8d6f3c3dc,0.0,1.0,0.0,9.0
025df27bf402908729e798b9a8eca1c8,0.0,0.0,1.0,2.0
028268ab77aff8e24e2d0935cbd0ad10,1.0,1.0,1.0,4096.0
0293e7dd77aa94e17e4d7d07cf8a2049,0.0,1.0,1.0,1617.0
0294f941b3b29cb483087d59457e5d89,0.0,0.0,1.0,7.0
02a866ccb1a98e57168e1b363ce2110d,1.0,1.0,1.0,106.0
02b7af11150741f6de128690c4aa3340,1.0,1.0,0.0,112.0
02f128767d3d2d302454c4734f0dc2c2,0.0,1.0,0.0,102.0
0358a9f89b00722b6c7a4fc3f3b64ed3,0.0,0.0,1.0,6.0
035edd998d7864250c983102de197a9d,0.0,1.0,1.0,2391.0
0361ef981e87152c6acf3dfc80d18bc3,0.0,0.0,1.0,2.0
03c7f0d6c3ba7e7723776208371f5ed0,0.0,1.0,0.0,8.0
03d2215b2efa460596cf9cec58880bd7,1.0,0.0,0.0,5.0
03d28d83f1b132a316b3701ae801d201,1.0,0.0,0.0,3.0
03e7efc17d402cebb0dc9dd6c6ec33af,1.0,0.0,0.0,7.0
03f391af11244396b4118d862f31e5ee,1.0,0.0,1.0,88.0
03f9b4536cfa51fc6adddc65b22bbfc8,1.0,1.0,1.0,2723.0
0402b207354d165d39f034b30c944ef0,1.0,0.0,0.0,10.0
04100b84f03eceb0d2b20b796f362fc1,0.0,0.0,1.0,3.0
0413c184be9eaacc7504b510568a30d2,1.0,0.0,0.0,7.0
04168250d682cf34717296630d429c47,0.0,0.0,1.0,3.0
041d94aea96d4a1a29e06f366e37b86e,0.0,1.0,0.0,7.0
042f0c29cc88c4995aa24878559404bf,1.0,0.0,0.0,30.0
0434da6ac8b0cb6c7d0844ecf576cbee,1.0,1.0,1.0,176.0
045c0f99a190b3077144f5a67f78a464,1.0,0.0,0.0,33.0
045fc124b9d1cbb8ab61ec1b49c3eb7d,0.0,1.0,1.0,1897.0
047bc5d9acd6864d3e7cbaf477d546ff,1.0,1.0,1.0,18242.0
04890a82029a8c8614eb392e03fd7290,1.0,0.0,0.0,7.0
04a5fbaf45fdd7252cd9e341080587b1,1.0,0.0,1.0,16.0
04c35ed2cfcfbacb845262ac3b27770d,0.0,1.0,0.0,5.0
04d6572cbb0ba6f0d0e649371274f61b,0.0,1.0,0.0,5.0
04ed905d09939fb9f7a6fe5f2e8d706e,1.0,0.0,0.0,47.0
04ee9fe99860da57144ba42fa26c8e70,0.0,1.0,1.0,358.0
04f5c18fd5bd6486b3afa7374a05da41,1.0,1.0,1.0,2300.0
05038205bfebc287e15534e5670b8b4a,0.0,1.0,0.0,3.0
053a38a4ce51cada6ad4a1511d070477,1.0,0.0,0.0,48.0
053f40d192f088eb3991dc116e53cf5e,0.0,1.0,1.0,39.0
05404c9fdf9f3f334eb618bac3f434f6,0.0,0.0,1.0,58.0
054f847ab1a5779d29d133d796ab55e1,1.0,1.0,0.0,4.0
05504fe332a95fe81917009c010616c9,1.0,0.0,0.0,8.0
058ba20bd286bb5d7d5dd5b406ec2629,1.0,1.0,1.0,45.0
