Class,L30,S30,W30,feature_frequency
Unassigned,1.0,1.0,1.0,1842.0
c__ANT37-16,0.0,1.0,0.0,21.0
c__Acantharia,0.0,0.0,1.0,8.0
c__Bacillariophyceae,1.0,0.0,0.0,163.0
c__Bivalvia,1.0,0.0,0.0,12.0
c__Choanoflagellida,1.0,0.0,1.0,259.0
c__Chrysophyceae,1.0,1.0,1.0,234.0
c__Coscinodiscophytina,1.0,0.0,1.0,15.0
c__Cryptophyceae,1.0,1.0,1.0,2895.0
c__Dinophyceae,1.0,1.0,1.0,11682.0
c__Dothideomycetes,1.0,0.0,0.0,122.0
c__Embryophyta,0.0,0.0,1.0,154.0
c__Eurotiomycetes,0.0,1.0,1.0,94.0
c__Gastropoda,1.0,0.0,1.0,48.0
c__Gracilipodida,0.0,1.0,0.0,28.0
c__Hydrozoa,1.0,1.0,1.0,3117.0
c__Incertae_Sedis,1.0,1.0,1.0,455.0
c__Insecta,1.0,1.0,0.0,317.0
c__Intramacronucleata,1.0,1.0,1.0,5236.0
c__Kathablepharidae,1.0,0.0,0.0,81.0
c__Leotiomycetes,1.0,1.0,1.0,283.0
c__MAST-12A,1.0,0.0,0.0,25.0
c__MAST-1A,1.0,1.0,1.0,877.0
c__MAST-1B,0.0,1.0,1.0,292.0
c__MAST-1C,1.0,1.0,1.0,143.0
c__MAST-2,1.0,0.0,0.0,134.0
c__MAST-3,0.0,1.0,0.0,2.0
c__MAST-3I,0.0,0.0,1.0,8.0
c__MAST-4,0.0,1.0,1.0,133.0
c__MAST-7A,0.0,1.0,1.0,272.0
c__Mamiellophyceae,0.0,1.0,1.0,1327.0
c__Maxillopoda,1.0,1.0,1.0,3923.0
c__Mediophyceae,1.0,0.0,1.0,1768.0
c__Monogononta,0.0,1.0,0.0,68.0
c__Peronosporomycetes,1.0,1.0,0.0,15.0
c__Picomonadida,0.0,1.0,1.0,244.0
c__Polychaeta,1.0,1.0,1.0,291.0
c__Prymnesiophyceae,1.0,1.0,1.0,1364.0
c__Syndiniales,1.0,1.0,1.0,2756.0
c__Tentaculata,1.0,0.0,1.0,418.0
c__Thecofilosea,1.0,0.0,0.0,690.0
c__Tremellomycetes,0.0,1.0,1.0,67.0
c__uncultured,1.0,1.0,1.0,97.0
