Class,L5,S5,W5,feature_frequency
c__Cyanobacteriia,1.0,1.0,1.0,723986.0
c__Sericytochromatia,0.0,1.0,0.0,2.0
c__Vampirivibrionia,1.0,1.0,1.0,403.0
