feature_id,L60,S60,W60,feature_frequency
004fddfa331355466f056bfd5ef0cae9,1.0,1.0,1.0,16.0
01e3a10453a0f7cc6f327b8091090c58,1.0,1.0,1.0,154361.0
01efd728f0f0eafcff2ed38ab8e7afde,0.0,1.0,0.0,222.0
020446c8e46fe4351944e92c06ec5144,1.0,1.0,0.0,15135.0
02598367c3084826db395f6a326aa50f,1.0,1.0,1.0,3323.0
02c314f95ad067223b498b74861d0e26,1.0,0.0,1.0,6125.0
03e4bf667f0fcbb99b0563157ace1d8e,1.0,0.0,1.0,1346.0
081481d983fe3aa1d6825bfbf5b45fd5,0.0,1.0,0.0,2.0
0ab0ae7a2aae7b93b21e29816d5bbf6a,0.0,1.0,0.0,4.0
0b2ea2fa0b7629842f69566e632d6ab2,1.0,0.0,0.0,5.0
0e5b87295db5b7c7bd6cbcea9bc6af60,1.0,0.0,0.0,35.0
0fe5a34d66747d212cdf92079d6833ef,0.0,1.0,0.0,6.0
11ba4574149015364773549d1540fbd7,1.0,0.0,1.0,232.0
1c2d20835246ea7446b0a8e4e3456c04,0.0,1.0,1.0,566.0
1e7d3a6dba567b1bcc4e6ceac17cec6d,1.0,0.0,1.0,18108.0
1f6540f210aa24caa4354afe31cf8e7c,1.0,1.0,1.0,3020.0
230c06f3cd1bf91d4257035835a0e170,0.0,1.0,0.0,11.0
232219084f234c1b31d90324e6d1832f,1.0,0.0,1.0,4940.0
27d1c50423641b47883d0f917402f7b6,0.0,1.0,0.0,93.0
2981aa9f69bc423dc502b2e178dc7904,1.0,1.0,1.0,44859.0
2a5a2600abd41b57d4ac437643b955c6,1.0,1.0,1.0,313.0
2a8e413806955fee51ae29e4bab2178b,0.0,0.0,1.0,14.0
2bcef39c7182e44f7b9a35e5522dfd45,1.0,0.0,0.0,110.0
2c9b54f1bcc91cf1961744d4ee4f1995,0.0,1.0,1.0,386.0
2db4a0f9aa44720683183be34b071c3f,1.0,1.0,1.0,937.0
2e2811e11b52b977980bfca7592300a6,0.0,1.0,0.0,7.0
334feb949bba92d67ce2d15e5517f30d,1.0,1.0,1.0,21971.0
3386fc614392527c573b8197597e4b2f,1.0,0.0,1.0,327.0
347c47daabbc6630d1605dd81aa134e4,1.0,1.0,1.0,130.0
360454b5808ac24ba7e9b839669b4505,0.0,0.0,1.0,962.0
36197ae5be86bb0fd8710dfe1b8d7f7c,1.0,0.0,0.0,13.0
36c2be8689db983aa92e5d208980376f,0.0,0.0,1.0,162.0
37b0014d3917f6035c93fc39db0cdaae,1.0,1.0,1.0,4498.0
393a02b18cc5126b4b3c63ee905d3de8,1.0,0.0,1.0,1791.0
3aeccd49caaf6891bda930a7ec9d481d,0.0,1.0,0.0,131.0
3c732a7edae66c0e41e06067d0ac801a,1.0,1.0,1.0,694.0
